gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2611164973	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69436827/original.jpeg?1587946098	https://www.inaturalist.org/photos/69436827					2020-04-26T01:07:21Z	vivian_88		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	vivian_88
2611164973	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69436732/original.jpeg?1587946084	https://www.inaturalist.org/photos/69436732					2020-04-26T01:07:07Z	vivian_88		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	vivian_88
2611164683	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69289981/original.jpeg?1587924782	https://www.inaturalist.org/photos/69289981					2020-04-26T23:21:44Z	froggly		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	froggly
2611164622	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69271432/original.jpg?1587922125	https://www.inaturalist.org/photos/69271432					2020-04-26T12:29:20Z	deyvhunt		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	deyvhunt
2611164622	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69267178/original.jpg?1587921521	https://www.inaturalist.org/photos/69267178					2020-04-26T12:29:20Z	deyvhunt		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	deyvhunt
2611158250	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69231551/original.jpg?1587916230	https://www.inaturalist.org/photos/69231551					2020-04-26T13:33:57Z	bethany_h2		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bethany_h2
2611144771	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/70319646/original.jpeg?1588238242	https://www.inaturalist.org/photos/70319646					2017-11-22T20:15:40Z	wadia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	wadia
2611136116	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69263138/original.jpeg?1587920965	https://www.inaturalist.org/photos/69263138					2020-04-27T00:04:08Z	Beatriz Herrera		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Beatriz Herrera
2611136116	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69263232/original.jpeg?1587920977	https://www.inaturalist.org/photos/69263232					2020-04-27T00:03:56Z	Beatriz Herrera		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Beatriz Herrera
2611134666	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69412290/original.jpeg?1587942258	https://www.inaturalist.org/photos/69412290					2020-04-26T01:49:43Z	ajmscot		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ajmscot
